Company,TypeName,Inches,Ram,OS,Price_euros,Touchscreen,CPU_company,CPU_freq,CPU_model,GPU_company,GPU_model
5,3,2.6602595372658615,2.1972245773362196,2,7.200939685789514,0,1,1.1939224684724346,3,2,3
5,3,2.6602595372658615,2.1972245773362196,2,6.802328094435323,0,1,1.0296194171811581,3,2,2
3,1,2.8094026953624978,2.1972245773362196,1,6.3561076606958915,0,1,1.252762968495368,3,2,2
5,3,2.797281334830153,2.833213344056216,2,7.839308937522205,0,1,1.308332819650179,4,0,3
5,3,2.6602595372658615,2.1972245773362196,2,7.4980942395604,0,1,1.410986973710262,3,2,3
0,1,2.8094026953624978,1.6094379124341003,3,5.993961427306569,0,0,1.3862943611198906,5,0,3
5,3,2.797281334830153,2.833213344056216,2,7.669014276347654,0,1,1.1631508098056809,4,2,3
5,3,2.6602595372658615,2.1972245773362196,2,7.055916629962658,0,1,1.0296194171811581,3,2,2
1,3,2.70805020110221,2.833213344056216,3,7.310550158534422,0,1,1.0296194171811581,4,3,3
0,3,2.70805020110221,2.1972245773362196,3,6.647688373563329,0,1,0.9555114450274363,3,2,5
3,1,2.8094026953624978,1.6094379124341003,1,5.978632568292603,0,1,1.252762968495368,3,2,2
3,1,2.8094026953624978,1.6094379124341003,1,5.846409872905957,0,1,1.0986122886681098,2,2,2
5,3,2.797281334830153,2.833213344056216,2,7.800150780272373,0,1,1.33500106673234,4,0,3
2,1,2.8094026953624978,1.6094379124341003,3,6.214408078419525,0,1,1.0986122886681098,2,0,3
5,3,2.5649493574615367,2.1972245773362196,2,7.1415617784646,0,1,0.7884573603642702,5,2,2
5,3,2.6602595372658615,2.1972245773362196,2,7.326169517376512,0,1,1.1939224684724346,3,2,3
2,1,2.8094026953624978,2.1972245773362196,3,6.61472560020376,0,1,1.308332819650179,4,0,3
5,3,2.797281334830153,2.833213344056216,2,7.958227192322312,0,1,1.3609765531356006,4,0,3
4,1,2.8094026953624978,2.1972245773362196,1,6.214608098422191,0,1,1.2237754316221157,2,3,0
2,3,2.6602595372658615,2.1972245773362196,3,6.887552571664617,1,1,0.9555114450274363,3,2,5
1,2,2.533696813957432,1.0986122886681098,3,5.262171919911683,0,1,0.8919980393051105,5,2,2
4,0,2.8094026953624978,2.1972245773362196,3,6.907755278982137,0,1,1.252762968495368,3,3,1
3,1,2.8094026953624978,1.6094379124341003,1,5.556828061699537,0,0,0.9162907318741551,5,0,3
2,2,2.6602595372658615,2.1972245773362196,3,6.709304340258298,1,1,0.9555114450274363,3,2,5
3,3,2.8094026953624978,2.1972245773362196,3,6.492239835020471,0,1,1.0296194171811581,4,2,2
2,1,2.8094026953624978,1.6094379124341003,3,6.039397200863284,0,1,1.0986122886681098,2,2,2
5,3,2.6602595372658615,2.1972245773362196,2,7.003065458786462,0,1,0.9555114450274363,3,2,2
2,1,2.8094026953624978,2.1972245773362196,3,6.68586094706836,0,1,0.9555114450274363,3,0,4
2,3,2.8094026953624978,2.1972245773362196,3,7.1693500166706,0,1,1.0647107369924282,4,2,5
3,1,2.9069010598473755,2.1972245773362196,3,6.799055862058796,0,1,0.9555114450274363,3,3,0
5,1,2.8094026953624978,1.6094379124341003,3,5.505290884699608,0,1,0.8919980393051105,5,2,2
1,1,2.70805020110221,1.0986122886681098,3,5.298317366548036,0,0,0.9162907318741551,5,0,3
3,1,2.9069010598473755,1.6094379124341003,3,6.0867747269123065,0,0,1.252762968495368,5,0,4
2,3,2.6602595372658615,2.833213344056216,3,7.533693709848633,1,1,1.0296194171811581,4,2,5
5,3,2.6602595372658615,2.1972245773362196,2,6.906754778648554,0,1,0.9555114450274363,3,2,2
4,1,2.70805020110221,1.6094379124341003,3,5.521460917862246,0,1,0.7419373447293773,1,2,2
0,1,2.8094026953624978,1.6094379124341003,0,5.908082938168931,0,1,1.308332819650179,2,2,2
2,1,2.9069010598473755,2.1972245773362196,3,6.887552571664617,0,1,0.9555114450274363,3,0,4
3,1,2.8094026953624978,1.6094379124341003,3,6.193772537834054,0,1,1.252762968495368,3,2,2
3,1,2.8094026953624978,2.1972245773362196,3,6.779921907472252,0,1,0.9555114450274363,3,3,3
1,1,2.8094026953624978,1.6094379124341003,0,5.966146739123692,0,1,1.0986122886681098,2,2,2
2,0,2.8094026953624978,2.833213344056216,3,7.313220387090301,0,1,1.33500106673234,4,3,1
1,1,2.8094026953624978,2.1972245773362196,0,6.261472600169475,0,1,1.252762968495368,3,3,0
0,1,2.8094026953624978,1.6094379124341003,3,6.52649485957079,0,1,0.9555114450274363,3,2,5
2,2,2.9069010598473755,2.5649493574615367,3,6.907755278982137,1,1,0.9555114450274363,3,3,0
5,3,2.6602595372658615,2.1972245773362196,2,7.258412150595307,0,1,1.0986122886681098,3,2,3
4,1,2.8094026953624978,1.6094379124341003,1,5.91350300563827,0,1,1.0986122886681098,2,2,2
1,0,2.9069010598473755,2.1972245773362196,3,7.170119543449628,0,0,1.3862943611198906,5,0,3
2,1,2.8094026953624978,1.6094379124341003,3,6.461468176353717,0,1,1.252762968495368,3,0,3
1,1,2.9069010598473755,1.6094379124341003,3,6.1463292576688975,0,1,0.7419373447293773,5,3,0
4,2,2.4069451083182885,1.6094379124341003,2,5.768320995793772,1,1,0.8919980393051105,5,2,2
0,1,2.8094026953624978,2.1972245773362196,3,6.7357800142423265,0,1,1.0296194171811581,4,3,3
3,1,2.8094026953624978,1.6094379124341003,3,5.99018873360393,0,0,1.252762968495368,5,0,3
3,1,2.6602595372658615,2.1972245773362196,3,7.00669522683704,0,1,1.0296194171811581,4,2,5
0,1,2.8094026953624978,1.6094379124341003,3,5.953243334287785,0,1,1.2237754316221157,2,2,2
2,1,2.8094026953624978,2.1972245773362196,3,6.644830857656083,0,1,1.0296194171811581,4,0,4
3,1,2.8094026953624978,1.6094379124341003,3,6.0867747269123065,0,1,1.0986122886681098,2,2,2
1,1,2.8094026953624978,1.6094379124341003,3,6.375348447182542,0,1,1.252762968495368,3,2,2
5,0,2.9069010598473755,2.833213344056216,3,7.803843303538772,0,1,1.33500106673234,4,3,1
1,1,2.8094026953624978,1.6094379124341003,0,6.030685260261263,0,1,1.0986122886681098,2,2,2
2,1,2.9069010598473755,2.833213344056216,3,7.170119543449628,0,1,1.0296194171811581,4,0,4
2,3,2.70805020110221,2.1972245773362196,3,6.779921907472252,0,1,0.9555114450274363,3,2,5
4,1,2.70805020110221,2.1972245773362196,1,6.396929655216146,0,1,1.308332819650179,2,2,2
1,1,2.70805020110221,2.1972245773362196,3,6.848005274576363,0,1,0.9555114450274363,3,2,5
3,1,2.8094026953624978,2.1972245773362196,3,6.53813982376767,0,1,1.252762968495368,3,2,2
1,3,2.8094026953624978,2.833213344056216,3,7.592870287844818,0,1,1.33500106673234,4,3,3
3,1,2.8094026953624978,1.6094379124341003,3,6.086069933148976,0,1,1.0986122886681098,2,0,4
3,1,2.70805020110221,1.6094379124341003,3,5.438079308923196,0,1,0.9555114450274363,0,2,2
4,1,2.8094026953624978,1.6094379124341003,3,6.309918278226516,0,1,1.252762968495368,3,2,2
1,0,2.9069010598473755,2.5649493574615367,0,6.856461984594587,0,1,1.33500106673234,4,3,3
5,3,2.6741486494265287,1.6094379124341003,2,6.993932975223189,1,1,1.252762968495368,3,2,2
2,3,2.6602595372658615,2.1972245773362196,3,6.862757913051401,0,1,1.0296194171811581,4,0,4
2,1,2.8094026953624978,2.1972245773362196,3,6.769641976852503,0,1,1.0296194171811581,4,0,4
5,0,2.9069010598473755,2.1972245773362196,3,6.999422467507961,0,1,1.252762968495368,3,3,1
0,1,2.70805020110221,2.1972245773362196,3,5.966146739123692,0,1,1.0986122886681098,2,2,2
1,0,2.8094026953624978,2.1972245773362196,3,6.856461984594587,0,1,1.33500106673234,4,3,1
4,1,2.8094026953624978,2.1972245773362196,1,6.253828811575473,0,1,1.252762968495368,3,2,2
2,1,2.8094026953624978,2.1972245773362196,3,6.752270376141742,0,1,1.0296194171811581,4,2,5
